Date,CVX,XOM,IBM,GE,MSFT,MMM,WMT,BA,VZ,UNH,AAPL,TRV,MCD,KO,JPM,HD,NKE,DIS,JNJ,PFE,UTX,CSCO,DD,MRK,PG,AXP,CAT,INTC,GS
2005-11-16,38.94228,43.360815,68.787686,23.350452999999998,21.500447,57.57168000000001,38.163357,51.755888,16.292545999999998,54.159149,8.451376,34.484277,23.418677,15.109692,28.578615999999997,31.737013,9.263243,21.765560999999998,45.190418,13.534471,41.786361,14.735929999999998,27.197596,19.310520999999998,41.186661,42.006153999999995,42.11578,17.872021,112.789148
2005-11-17,39.153514,43.51248,69.065888,23.431576999999997,21.678713000000002,57.833674,38.44443,51.917048,16.606872,54.69733000000001,8.395424,35.434571000000005,23.697129999999998,15.01288,28.669317,31.947440000000004,9.361295,21.88344,45.254721,13.521804000000001,41.926767,14.864293,27.437824,19.200286,41.586887,41.519659000000004,42.665149,18.015515,114.751397
2005-11-18,39.596428,44.172218,69.765367,24.168461999999998,21.756220000000003,58.507379,38.647425,51.37984,16.606872,54.679391,8.400628999999999,35.312933,23.625733,15.131206,28.7449,31.894833000000002,9.44965,21.218265,44.924343,13.680139000000002,41.762961,14.564782000000001,27.561186,19.725521,41.805191,41.86356,42.524094,18.151832000000002,115.780911
2005-11-21,40.100666,45.021537,69.38383499999999,24.472681,21.825976,59.308337,38.741115,52.953086,16.643542999999998,54.535875,8.452677,35.160886,23.611453,15.113278,28.586173,31.774589000000002,9.313886,21.091964,44.522145,13.768806,41.965768,14.599010999999999,27.859844,19.757943,41.943449,42.693954,42.843321,18.115959,116.511253
2005-11-22,40.284646,45.241451,69.940239,24.378035,21.632209,58.909482999999994,39.193954999999995,53.029828,16.695930999999998,54.419268,8.655667,35.33574,23.554336,15.181404,28.873396000000003,31.849743,9.374225,20.999346,44.249221999999996,13.540804000000001,42.410385999999995,14.787276,28.01567,19.783881,41.579609000000005,43.406917,43.62283,18.768851,116.67844099999999
2005-11-23,40.00527,45.400698,70.58408399999999,24.296909,21.639960000000002,58.7966,39.482834000000004,53.29076,16.685454,54.29369200000001,8.732438,35.426967,24.068402,15.292557999999998,29.311785999999998,31.939926,9.447495,21.016185999999998,44.292313,13.705472,42.433789000000004,14.924195000000001,27.801412,19.978412,41.485009999999996,43.952126,43.066038,19.113232999999997,117.980731
2005-11-25,39.889432,45.582696999999996,70.58408399999999,24.472681,21.515949,58.939586,39.420375,52.99913000000001,16.753557,53.961814000000004,9.022608,35.206501,23.889906,15.346341,29.372256,31.879802,9.504602,21.091964,44.637059,13.724473000000001,42.363586,15.018325,28.01567,20.088647,41.681484000000005,44.136655,43.021496,19.235201999999997,118.015922
2005-11-28,38.962722,44.543797,70.83049100000001,24.323951,21.508198,58.849278000000005,39.037803000000004,52.669132,16.858333,52.383145,9.064247,35.350945,24.23976,15.339169,29.402490000000004,31.301128000000002,9.314963,21.066705,44.816613000000004,13.673805999999999,42.184179,14.958423999999999,27.989696999999996,19.167863,41.55778,44.321188,42.650301,19.271076,115.35855
2005-11-29,39.092187,44.240466999999995,70.82254,24.290149,21.453943,58.962161,38.264853,53.05285,16.842617,53.881085999999996,8.861259,35.502992,24.225479999999997,15.537676999999999,29.447839000000002,31.64013,9.255701,21.117225,44.529326,13.597804,42.262181,14.984096,28.197460999999997,19.466146,41.972557,43.725654,42.390463000000004,19.213679,114.786588
2005-11-30,39.051305,44.005387,70.66356999999999,24.148181,21.453943,59.059996,37.913515000000004,52.331465,16.753557,53.692723,8.824824000000001,35.373751,24.16836,15.407745000000002,28.911188,31.474395,9.191051,20.990925,44.349771999999994,13.426803,41.996970000000005,15.009769,27.755962,19.308526,41.615992999999996,43.130117,42.895289,19.141932999999998,113.475504
