Date,CVX,XOM,IBM,GE,MSFT,MMM,WMT,BA,VZ,UNH,AAPL,TRV,MCD,KO,JPM,HD,NKE,DIS,JNJ,PFE,UTX,CSCO,DD,MRK,PG,AXP,CAT,INTC,GS
2007-07-31,1.02680837901,1.11912900061,0.785000515532,0.753363725663,0.96723615275,0.637212502141,0.868107356944,0.783628818101,0.754316655657,0.71011234764,0.973367154864,0.909301197815,0.882527862882,0.608212712565,1.18242546565,0.900828992138,0.856048008872,1.01923021653,0.493003255603,0.672077878681,0.897662235368,1.19748497279,1.10376346371,0.835381587569,0.61671477766,1.28943391475,1.05378867452,1.37584804646,1.70903454581
2007-08-31,1.10813880682,1.21399108905,0.715716616359,0.870210840405,0.941608717889,0.608928941623,0.933535994309,0.813562879,0.741362838897,0.666438801949,1.16412929692,1.04122365516,0.734762040667,0.566498943187,1.18730870459,0.993338317278,0.866654634242,0.960037860635,0.496355706968,0.701998094503,0.877101550166,1.14092613247,0.944951924029,0.835680310937,0.572126439131,1.4045809203,0.940820244501,1.26896511162,1.72129644462
2007-09-28,1.11236202754,1.21978635064,0.689474468696,0.892449959297,0.904763684604,0.626557282894,0.924479765867,0.743514954928,0.774460247618,0.63177747984,1.11655696432,1.07939860386,0.732314778711,0.583550520623,1.24921789089,0.938832821791,0.897602743305,0.953022812378,0.490573958947,0.717048579303,0.869040534458,1.05570314849,0.938502098945,0.839976556367,0.573268815885,1.43895935576,0.964000787645,1.18877404365,1.72662763858
2007-10-31,1.10459441258,1.18888373223,0.689635780896,0.893329017573,0.965986787432,0.713223393135,0.880675499979,0.755052858838,0.801176756468,0.660372247847,1.10367204568,1.04268877597,0.719969330855,0.574607120041,1.25056266185,0.942960414246,0.861891240518,0.972879354324,0.499342446174,0.729606659969,0.859478792164,1.06855407377,0.944889587636,0.84731636907,0.562095148803,1.46060159571,0.991023295194,1.15171799535,1.78358872627
2007-11-30,1.12124104881,1.1980071081,0.759330904295,0.907468024061,0.927967762221,0.748918457049,0.893692737264,0.700119594434,0.807977818622,0.532526276746,1.19875081618,1.00286082193,0.643530643035,0.556310532796,1.39364919731,1.00594579962,0.869251986812,0.993253915971,0.423343093316,0.777997921767,0.832478015016,1.08524001352,0.912491998674,0.779044011737,0.532836921494,1.50528004712,0.969645207445,1.12258776341,1.78017814165
2007-12-31,1.11967672715,1.17543900456,0.777668305597,0.914839498073,0.950095499041,0.762749274036,0.855573646005,0.729154498802,0.819565889128,0.558053832235,1.2282336836,1.03370529998,0.604823132501,0.542024079994,1.37658119646,1.02507744174,0.8654621868,0.945279571661,0.402084595076,0.82573632749,0.874652033601,1.05571047433,0.936513832529,0.753626998178,0.521443869579,1.49200827612,0.995750864066,1.14896842323,1.74419954352
2008-01-31,1.07500144233,1.13155338307,0.845604333589,0.930956725418,0.91216455092,0.774188810218,0.813444700211,0.724393485164,0.848979339591,0.543503986651,1.19056090281,1.07697581536,0.616950563452,0.564681378268,1.44025083566,1.02300455961,0.886032331905,0.937519197346,0.37676970777,0.798818438704,0.895094305862,1.05848192614,0.971116380494,0.747187052834,0.513132062111,1.5522981635,1.0130473063,1.28622131261,1.65846509583
2008-02-29,1.06089159442,1.11602053912,0.86693485722,0.951274600869,0.862226959338,0.789359160224,0.798345226163,0.720805592852,0.846555299832,0.517312731662,1.13067292221,1.10917419767,0.595550451758,0.560516105982,1.47267486903,1.09307834163,0.883867271067,0.871038054836,0.3692294477,0.783449667906,0.890179609084,1.02627685927,0.948746474036,0.753568502619,0.474228714082,1.58401381919,1.01796650644,1.29677386919,1.59665295881
2008-03-31,1.03708980044,1.0971349706,0.812300617223,0.990035430543,0.856087135865,0.771688457749,0.767105975935,0.687859865569,0.815352010119,0.388481828325,1.14616803001,1.10690525952,0.554081327215,0.537713665476,1.44735079763,1.16796532025,0.91987036445,0.841203562531,0.362040715965,0.752908265024,0.870794521239,1.04905257848,0.969581951372,0.70464781589,0.457066577808,1.63456142559,1.01304462056,1.28775334021,1.73602952958
2008-04-30,0.979837811026,1.05266445874,0.793475811142,1.05647230703,0.870539393994,0.783994317156,0.735543648384,0.67941485176,0.821464107126,0.421404850877,1.19781125724,1.10854320433,0.561996533648,0.507838991199,1.50870818988,1.17074729266,0.898546509167,0.838447286072,0.353513210833,0.756562939223,0.898270738602,1.05452606218,0.966924670179,0.676800762421,0.433223578583,1.65259755314,1.0342083042,1.3065760232,1.74042860724
2008-05-30,0.942727945432,1.01083541744,0.794684478174,1.05522460516,0.893180930193,0.797756756341,0.735088672211,0.696645284493,0.831504660092,0.406658597525,1.20513171885,1.12181592521,0.578931753616,0.502891489697,1.53017887818,1.19775400857,0.910173987344,0.83258792339,0.353674717643,0.745361558186,0.916114232429,1.08151053434,0.961218116113,0.67145891182,0.445992036991,1.69108056045,1.02768029677,1.3214166556,1.73591420768
2008-06-30,0.900456007448,0.974314372595,0.807399602917,1.06971168807,0.915728401916,0.801160160318,0.751866534626,0.697476897387,0.880896662994,0.414561065244,1.23339468244,1.13639350681,0.606350419031,0.487031055164,1.53578779309,1.23766944311,0.966881988966,0.846741405897,0.360807343675,0.756179866387,0.925916446789,1.10022285308,0.967141271622,0.679185868826,0.460720533722,1.72878349733,1.01904302495,1.33571905589,1.7379453787
2008-07-31,0.820213931457,0.895031892873,0.801285087157,1.10822868613,0.92698984692,0.812504474897,0.759913461211,0.758723842204,0.856504758267,0.455502575268,1.29309799022,1.1692117521,0.589067297531,0.445892262948,1.72652244659,1.28605996665,0.950902918337,0.849309389247,0.323598994264,0.787976562398,0.947886750286,1.08960538023,0.950480599845,0.579487750786,0.447473924273,1.74492138426,1.04374809412,1.31092268151,1.78051133543
